Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
1,1,93.79,0.00,1381
1,2,75.99,0.00,1392
1,3,63.49,0.00,1028
1,4,64.24,0.00,1187
1,5,67.59,0.00,1308
1,6,64.28,0.00,1028
1,7,66.87,0.00,1145
1,8,65.01,0.00,1301
1,9,65.94,0.00,1114
1,10,63.87,0.00,1104
1,11,64.61,0.00,1235
1,12,65.93,0.00,1239
1,13,64.84,0.00,1127
1,14,66.43,0.00,1256
1,15,61.95,0.00,1031
1,16,61.59,0.00,1029
1,17,64.79,0.00,1108
1,18,66.01,0.00,1290
1,19,61.03,0.00,1010
1,20,67.48,0.00,1246
1,21,63.12,0.00,1143
1,22,66.06,0.00,1193
1,23,66.05,0.00,1263
1,24,61.30,0.00,1019
1,25,64.22,0.00,1140
1,26,70.61,0.00,1568
1,27,65.94,0.00,1174
1,28,65.30,0.00,1226
1,29,62.51,0.00,1154
1,30,63.47,0.00,1171
1,31,65.69,0.00,1191
1,32,64.19,0.00,1164
1,33,68.27,0.00,1385
1,34,63.27,0.00,1153
1,35,63.92,0.00,1247
1,36,65.32,0.00,1295
1,37,61.83,0.00,1084
1,38,64.30,0.00,1146
1,39,67.93,0.00,1338
1,40,62.79,0.00,1033
1,41,67.27,0.00,1314
1,42,63.95,0.00,1080
1,43,69.24,0.00,1306
1,44,64.14,0.00,1066
1,45,63.28,0.00,1127
1,46,63.70,0.00,1188
1,47,67.07,0.00,1223
1,48,65.52,0.00,1376
1,49,62.63,0.00,1166
1,50,65.70,0.00,1162
2,1,85.13,0.00,2775
2,2,60.77,0.00,2498
2,3,52.60,0.00,2662
2,4,52.04,0.00,2617
2,5,53.02,0.00,2648
2,6,52.05,0.00,2518
2,7,52.62,0.00,2739
2,8,52.30,0.00,2580
2,9,52.37,0.00,2660
2,10,50.96,0.00,2676
2,11,53.15,0.00,3016
2,12,53.61,0.00,2806
2,13,52.67,0.00,2841
2,14,51.19,0.00,2928
2,15,53.44,0.00,2868
2,16,53.24,0.00,2739
2,17,53.93,0.00,2957
2,18,51.28,0.00,2815
2,19,53.24,0.00,2853
2,20,51.74,0.00,2684
2,21,49.99,0.00,2623
2,22,53.06,0.00,3048
2,23,53.89,0.00,2848
2,24,50.36,0.00,2570
2,25,51.97,0.00,2927
2,26,53.17,0.00,2809
2,27,52.18,0.00,2774
2,28,53.61,0.00,2890
2,29,51.40,0.00,2740
